,Instrument,Country of Headquarters,Region of Headquarters,NAICS National Industry Name,NAICS Industry Group Name,NAICS Sector Name,GICS Sub-Industry Name,GICS Industry Name,ICB Industry name,ICB Sector name,GICS Industry Group Name,SIC Industry Name,TRBC Industry Name,TRBC Industry Group Name,TRBC Business Sector Name,TRBC Economic Sector Name,TSE33 Main sector name,NAICS Subsector Name,key
0,QA0006929820,Qatar,Asia,Direct Property and Casualty Insurance Carriers,Insurance Carriers,Finance and Insurance,Property & Casualty Insurance,Insurance,Financials,Non-life Insurance,Insurance,,Multiline Insurance & Brokers,Insurance,Insurance,Financials,,Insurance Carriers and Related Activities,QA0006929820
0,US7473011093,United States of America,Americas,Commercial Printing (except Screen and Books),Printing and Related Support Activities,Manufacturing,Commercial Printing,Commercial Services & Supplies,Industrials,Industrial Support Services,Commercial  & Professional Services,,Commercial Printing Services,Professional & Commercial Services,Industrial & Commercial Services,Industrials,,Printing and Related Support Activities,US7473011093
0,FR0000120560,France,Europe,Commercial and Service Industry Machinery Manufacturing,Commercial and Service Industry Machinery Manufacturing,Manufacturing,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Technology,Technology Hardware & Equipment,Technology Hardware & Equipment,,IT Services & Consulting,Software & IT Services,Software & IT Services,Technology,,Machinery Manufacturing,FR0000120560
0,US7473161070,United States of America,Americas,All Other Miscellaneous Chemical Product and Preparation Manufacturing,Other Chemical Product and Preparation Manufacturing,Manufacturing,Specialty Chemicals,Chemicals,Basic Materials,Chemicals,Materials,,Commodity Chemicals,Chemicals,Chemicals,Basic Materials,,Chemical Manufacturing,US7473161070
0,US7475251036,United States of America,Americas,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Communications Equipment Manufacturing,Manufacturing,Semiconductors,Semiconductors & Semiconductor Equipment,Technology,Technology Hardware & Equipment,Semiconductors & Semiconductor Equipment,Radio and Television Broadcasting and Communications Equipment,Semiconductors,Semiconductors & Semiconductor Equipment,Technology Equipment,Technology,,Computer and Electronic Product Manufacturing,US7475251036
0,BRQUALACNOR6,Brazil,Americas,Insurance Agencies and Brokerages,"Agencies, Brokerages, and Other Insurance Related Activities",Finance and Insurance,Managed Health Care,Health Care Providers & Services,Financials,Non-life Insurance,Health Care Equipment & Services,,Multiline Insurance & Brokers,Insurance,Insurance,Financials,,Insurance Carriers and Related Activities,BRQUALACNOR6
0,MX01Q0000008,Mexico,Americas,Direct Property and Casualty Insurance Carriers,Insurance Carriers,Finance and Insurance,Property & Casualty Insurance,Insurance,Financials,Non-life Insurance,Insurance,,Property & Casualty Insurance,Insurance,Insurance,Financials,,Insurance Carriers and Related Activities,MX01Q0000008
0,TH0256A10Z04,Thailand,Asia,New Housing For-Sale Builders,Residential Building Construction,Construction,Real Estate Development,Real Estate Management & Development,Real Estate,Real Estate Investment and Services Development,Real Estate,,"Real Estate Rental, Development & Operations",Real Estate Operations,Real Estate,Real Estate,,Construction of Buildings,TH0256A10Z04
0,US74758T3032,United States of America,Americas,Custom Computer Programming Services,Computer Systems Design and Related Services,"Professional, Scientific, and Technical Services",Systems Software,Software,Technology,Software & Computer Services,Software & Services,Prepackaged Software,IT Services & Consulting,Software & IT Services,Software & IT Services,Technology,,"Professional, Scientific, and Technical Services",US74758T3032
0,US7476191041,United States of America,Americas,Metal Window and Door Manufacturing,Architectural and Structural Metals Manufacturing,Manufacturing,Building Products,Building Products,Industrials,Construction and Materials,Capital Goods,,Construction Supplies & Fixtures,Homebuilding & Construction Supplies,Cyclical Consumer Products,Consumer Cyclicals,,Fabricated Metal Product Manufacturing,US7476191041
